probe,gene,chr,s1,s2
201608_s_at,PWP1,chr12,108079589,108106257
201609_x_at,ICMT,chr1,6279862,6296022
201610_at,ICMT,chr1,6279862,6296022
201611_s_at,ICMT,chr1,6281254,6296006
201612_at,ALDH9A1,chr1,165631452,165668100
201613_s_at,AP1G2,chr3,127799802,127842638
201614_s_at,RUVBL1,chr3,127799802,127842642
201615_x_at,CALD1,chr7,134464375,134654691
201616_s_at,CALD1,chr7,134464375,134654691
201617_x_at,CALD1,chr7,134464400,134654097
201618_x_at,GPAA1,chr8,145137538,145141114
201619_at,PRDX3,chr10,120927238,120938308
201620_at,MBTPS1,chr16,84087370,84150511
201621_at,NBL1,chr1,19981503,19984935
201622_at,SND1,chr7,127292233,127732658
201623_s_at,DARS,chr2,136664831,136743087
201624_at,DARS,chr2,136664253,136743117
201625_s_at,INSIG1,chr7,155089424,155395498
201626_at,INSIG1,chr7,155089424,155395498
201627_s_at,INSIG1,chr7,155089580,155101245
201628_s_at,RRAGA,chr9,19049568,19050976
201629_s_at,ACP1,chr2,264186,278283
201630_s_at,ACP1,chr2,264186,278280
201631_s_at,IER3,chr6,30710976,30712306
201632_at,EIF2B1,chr12,124105578,124116994
201633_s_at,CYB5B,chr16,69458438,69497780
201634_s_at,CYB5B,chr16,69458562,69497707
201635_s_at,FXR1,chr3,180630455,180694941
201636_at,FXR1,chr3,180630455,180694941
201637_s_at,FXR1,chr3,180630461,180694334
201638_s_at,CPSF1,chr8,145618445,145634709
201639_s_at,CPSF1,chr8,145618449,145634709
201640_x_at,CLPTM1,chr19,45465216,45496598
201641_at,BST2,chr19,17513755,17516384
201642_at,IFNGR2,chr21,34775201,34809820
201643_x_at,KDM3B,chr5,137708361,137772717
201644_at,TSTA3,chr8,144694789,144698896
201645_at,TNC,chr9,117782812,117880439
201646_at,SCARB2,chr4,77080395,77135011
201647_s_at,SCARB2,chr4,77082239,77134949
201648_at,JAK1,chr1,65298911,65432213
201649_at,UBE2L6,chr11,57319136,57335131
201650_at,KRT19,chr17,39679869,39684528
201651_s_at,PACSIN2,chr22,43265776,43411151
201652_at,COPS5,chr8,67955315,67974351
201653_at,CNIH1,chr14,54893650,54908101
201654_s_at,HSPG2,chr1,22148739,22222804
201655_s_at,HSPG2,chr1,22148737,22222804
201656_at,ITGA6,chr2,173292369,173371002
201657_at,ARL1,chr12,101786911,101801547
201658_at,ARL1,chr12,101786911,101801547
201659_s_at,ARL1,chr12,101789099,101801525
201660_at,ACSL3,chr2,223725731,223809342
201661_s_at,ACSL3,chr2,223765396,223807804
201662_s_at,ACSL3,chr2,223765396,223806954
201663_s_at,SMC4,chr3,160117438,160151704
201664_at,SMC4,chr3,160118382,160152739
201665_x_at,RPS17,chr22,32435450,32435928
201666_at,TIMP1,chrX,47441830,47446187
201667_at,GJA1,chr6,121756787,121770872
201668_x_at,MARCKS,chr6,114178526,114182981
201669_s_at,MARCKS,chr6,114178555,114182980
201670_s_at,MARCKS,chr6,114178616,114182318
201671_x_at,USP14,chr18,158552,212601
201672_s_at,USP14,chr18,158607,212191
201673_s_at,GYS1,chr19,49471387,49496531
201674_s_at,AKAP1,chr17,55162620,55197931
201675_at,AKAP1,chr17,55162659,55198609
201676_x_at,PSMA1,chr11,14526422,14541948
201677_at,HMCES,chr3,128998550,129025029
201678_s_at,HMCES,chr3,128998550,129024133
201679_at,SRRT,chr7,100472619,100486285
201680_x_at,SRRT,chr7,100483328,100486285
201681_s_at,DLG5,chr10,79550550,79595683
201682_at,PMPCB,chr7,102937898,102953006
201683_x_at,TOX4,chr14,21945383,21967316
201684_s_at,TOX4,chr14,21945383,21967316
201685_s_at,TOX4,chr14,21945405,21967040
201686_x_at,API5,chr11,43333564,43364194
201687_s_at,API5,chr11,43333552,43366079
201688_s_at,TPD52,chr8,80947571,81083777
201689_s_at,TPD52,chr8,80947571,81083777
201690_s_at,TPD52,chr8,80947571,81083777
201691_s_at,TPD52,chr8,80947748,81083769
201692_at,SIGMAR1,chr9,34634719,34637768
201693_s_at,EGR1,chr5,137801167,137804992
201694_s_at,EGR1,chr5,137801181,137805004
201695_s_at,PNP,chr14,20937564,20945199
201696_at,SRSF4,chr1,29474390,29508312
201697_s_at,DNMT1,chr19,10244022,10305811
201698_s_at,SRSF9,chr12,120899470,120907464
201699_at,PSMC6,chr14,53173921,53194709
201700_at,CCND3,chr6,41902679,41909552
201701_s_at,PGRMC2,chr4,129191298,129208948
201702_s_at,PPP1R10,chr6,30568189,30585020
201703_s_at,PPP1R10,chr6,30568182,30585008
201704_at,ENTPD6,chr20,25176371,25207360
201705_at,PSMD7,chr16,74330733,74340172
201706_s_at,PEX19,chr1,160248270,160254916
201707_at,PEX19,chr1,160246601,160254924
201708_s_at,NIPSNAP1,chr22,29950796,29977328
201709_s_at,NIPSNAP1,chr22,29950799,29977328
201710_at,MYBL2,chr20,42302444,42345124
201711_x_at,RANBP2,chr2,109335936,109401296
201712_s_at,RANBP2,chr2,109335936,109401246
201713_s_at,RANBP2,chr2,109335936,109400560
201714_at,TUBG1,chr17,40761732,40767245
201715_s_at,ACIN1,chr14,23527775,23564823
201716_at,SNX1,chr15,64388207,64430149
201717_at,MRPL49,chr11,64889805,64894822
201718_s_at,EPB41L2,chr6,131160486,131384391
201719_s_at,EPB41L2,chr6,131160489,131277640
201720_s_at,LAPTM5,chr1,31205315,31230673
201721_s_at,LAPTM5,chr1,31205315,31230667
201722_s_at,GALNT1,chr18,33234591,33291796
201723_s_at,GALNT1,chr18,33234595,33290208
201724_s_at,GALNT1,chr18,33234595,33291794
201725_at,CDC123,chr10,12237964,12292587
201726_at,ELAVL1,chr19,8027158,8056718
201727_s_at,ELAVL1,chr19,8028234,8056718
201728_s_at,KIAA0100,chr17,26941468,26971671
201729_s_at,KIAA0100,chr17,26941727,26971671
201730_s_at,TPR,chr1,186282957,186344457
201731_s_at,TPR,chr1,186282961,186344457
201732_s_at,CLCN3,chr4,170541798,170644336
201733_at,CLCN3,chr4,170541798,170644336
201734_at,CLCN3,chr4,170541798,170644336
201735_s_at,CLCN3,chr4,170541798,170642157
201736_s_at,MARCH6,chr5,10353827,10435774
201737_s_at,MARCH6,chr5,10403517,10435491
201738_at,EIF1B,chr3,40351189,40353892
201739_at,SGK1,chr6,134490394,134495980
201740_at,NDUFS3,chr11,47600631,47606113
201741_x_at,SRSF1,chr17,56079499,56084622
201742_x_at,SRSF1,chr17,56082216,56084622
201743_at,CD14,chr5,140011320,140012772
201744_s_at,LUM,chr12,91497325,91505237
201745_at,TWF1,chr12,44187525,44200108
201746_at,TP53,chr17,7571738,7590917
201747_s_at,SAFB,chr19,5623100,5668488
201748_s_at,SAFB,chr19,5623171,5668488
201749_at,ECE1,chr1,21543742,21616907
201750_s_at,ECE1,chr1,21546351,21616907
201751_at,JOSD1,chr22,39081626,39096271
201752_s_at,ADD3,chr10,111765805,111894762
201753_s_at,ADD3,chr10,111860380,111894088
201754_at,COX6C,chr8,100890380,100904282
201755_at,MCM5,chr22,35796127,35820494
201756_at,RPA2,chr1,28218053,28241031
201757_at,NDUFS5,chr1,39492005,39500286
201758_at,TSG101,chr11,18501863,18548450
201759_at,TBCD,chr17,80709937,80901060
201760_s_at,WSB2,chr12,118470865,118498951
201761_at,MTHFD2,chr2,74425711,74442412
201762_s_at,PSME2,chr14,24612574,24615854
201763_s_at,DAXX,chr6,33286402,33290724
201764_at,TMEM106C,chr12,48357990,48362660
201765_s_at,HEXA,chr15,72635777,72668383
201766_at,ELAC2,chr17,12895508,12921339
201767_s_at,ELAC2,chr17,12895707,12921264
201768_s_at,CLINT1,chr5,157214533,157286044
201769_at,CLINT1,chr5,157213296,157286079
201770_at,SNRPA,chr19,41257193,41271294
201771_at,SCAMP3,chr1,155225770,155232038
201772_at,AZIN1,chr8,103840231,103876364
201773_at,ADNP,chr20,49506882,49547527
201774_s_at,NCAPD2,chr12,6602544,6641125
201775_s_at,EFCAB14,chr1,47140830,47184770
201776_s_at,EFCAB14,chr1,47140830,47184770
201777_s_at,EFCAB14,chr1,47143888,47183881
201778_s_at,EFCAB14,chr1,47140832,47184736
201779_s_at,RNF13,chr3,149531014,149679148
201780_s_at,RNF13,chr3,149531014,149679913
201781_s_at,AIP,chr11,67250509,67258574
201782_s_at,AIP,chr11,67250520,67258574
201783_s_at,RELA,chr11,65421071,65429677
201784_s_at,C11orf58,chr11,16760290,16776893
201785_at,RNASE1,chr14,21269618,21270990
201786_s_at,ADAR,chr1,154554539,154580669
201787_at,FBLN1,chr22,45898855,45959241
201788_at,DDX42,chr17,61869890,61896606
201789_at,PCNXL4,chr14,60611417,60632538
201790_s_at,DHCR7,chr11,71145456,71158784
201791_s_at,DHCR7,chr11,71145462,71159399
201792_at,AEBP1,chr7,44144125,44154158
201793_x_at,SMG7,chr1,183498101,183523326
201794_s_at,SMG7,chr1,183497111,183523321
201795_at,LBR,chr1,225589212,225615716
201796_s_at,VARS,chr6,31745294,31763523
201797_s_at,VARS,chr6,31745298,31763510
201798_s_at,MYOF,chr10,95066186,95242039
201799_s_at,OSBP,chr11,59341870,59383617
201800_s_at,OSBP,chr11,59341870,59383617
201801_s_at,SLC29A1,chr6,44187471,44201290
201802_at,SLC29A1,chr6,44187392,44201878
201803_at,POLR2B,chr4,57845108,57897334
201804_x_at,TBCB,chr19,36606396,36616842
201805_at,PRKAG1,chr12,49396193,49412539
201806_s_at,ATXN2L,chr16,28834359,28848556
201807_at,VPS26A,chr10,70883955,70932614
201808_s_at,ENG,chr9,130577294,130616984
201809_s_at,ENG,chr9,130577295,130616984
201810_s_at,SH3BP5,chr3,15296359,15374066
201811_x_at,SH3BP5,chr3,15296363,15373888
201812_s_at,C4orf46,chr7,22852591,22862491
201813_s_at,TBC1D5,chr3,17198659,17782535
201814_at,TBC1D5,chr3,17198659,17782535
201815_s_at,TBC1D5,chr3,17199898,17782399
201816_s_at,GBAS,chr7,56032295,56067871
201817_at,UBE3C,chr7,156931663,157062062
201818_at,LPCAT1,chr5,1461543,1481092
201819_at,SCARB1,chr12,125262175,125348334
201820_at,KRT5,chr12,52908360,52914471
201821_s_at,TIMM17A,chr1,201924648,201939075
201822_at,TIMM17A,chr1,201924647,201939787
201823_s_at,RNF14,chr5,141346436,141367592
201824_at,RNF14,chr5,141348676,141368750
201825_s_at,SCCPDH,chr1,246887356,246931439
201826_s_at,SCCPDH,chr1,246887724,246931439
201827_at,SMARCD2,chr17,61909444,61910750
201828_x_at,FAM127A,chrX,134166396,134167573
201829_at,NET1,chr10,5488571,5500531
201830_s_at,NET1,chr10,5494395,5499674
201831_s_at,USO1,chr4,76649790,76735439
201832_s_at,USO1,chr4,76649828,76735364
201833_at,HDAC2,chr6,114261926,114292274
201834_at,PRKAB1,chr12,120105782,120119416
201835_s_at,PRKAB1,chr12,120105968,120118153
201836_s_at,SUPT7L,chr2,27873596,27886529
201837_s_at,SUPT7L,chr2,27875937,27886468
201838_s_at,SUPT7L,chr2,27873678,27886449
201839_s_at,EPCAM,chr2,47596466,47614157
201840_at,NEDD8,chr14,24686071,24701572
201841_s_at,HSPB1,chr7,75931922,75933612
201842_s_at,EFEMP1,chr2,56093101,56150917
201843_s_at,EFEMP1,chr2,56093097,56150178
201844_s_at,RYBP,chr3,72423754,72496273
201845_s_at,RYBP,chr3,72423756,72496273
201846_s_at,RYBP,chr3,72427268,72495774
201847_at,LIPA,chr10,90973331,91011532
201848_s_at,BNIP3,chr10,133781942,133795382
201849_at,BNIP3,chr14,28733634,28735166
201850_at,CAPG,chr2,85621890,85637474
201851_at,SH3GL1,chr19,4360367,4400380
201852_x_at,COL3A1,chr2,189839109,189877469
201853_s_at,CDC25B,chr20,3776956,3786759
201854_s_at,ATMIN,chr16,81074129,81080959
201855_s_at,ATMIN,chr16,81074129,81080951
201856_s_at,ZFR,chr5,32355682,32397446
201857_at,ZFR,chr5,32354456,32395314
201858_s_at,SRGN,chr10,70847882,70864026
201859_at,SRGN,chr10,70847896,70864558
201860_s_at,PLAT,chr8,42032754,42065060
201861_s_at,LRRFIP1,chr2,238600791,238674078
201862_s_at,LRRFIP1,chr2,238600928,238673906
201863_at,FAM32A,chr19,16296234,16302855
201864_at,GDI1,chrX,153665520,153671812
201865_x_at,NR3C1,chr5,142657499,142782894
201866_s_at,NR3C1,chr5,142659131,142782894
201867_s_at,TBL1X,chrX,9433038,9687778
201868_s_at,TBL1X,chrX,9433038,9687778
201869_s_at,TBL1X,chrX,9433038,9687778
201870_at,TOMM34,chr20,43570859,43589005
201871_s_at,UBXN1,chr11,62443972,62446522
201872_s_at,ABCE1,chr4,146002813,146050586
201873_s_at,ABCE1,chr4,146019485,146050331
201874_at,MPZL1,chr1,167757420,167760060
201875_s_at,MPZL1,chr1,167759429,167760058
201876_at,PON2,chr7,95034174,95064295
201877_s_at,PPP2R5C,chr14,102276231,102394023
201878_at,ARIH1,chr15,72766666,72878896
201879_at,ARIH1,chr15,72766666,72878896
201880_at,ARIH1,chr15,72766666,72878896
201881_s_at,ARIH1,chr15,72766666,72875823
201882_x_at,B4GALT1,chr9,33110639,33167243
201883_s_at,B4GALT1,chr9,33110641,33167243
201884_at,CEACAM5,chr19,42212536,42231272
201885_s_at,CYB5R3,chr22,43014820,43045379
201886_at,DCAF11,chr14,24584813,24593238
201887_at,IL13RA1,chrX,117861558,117928496
201888_s_at,IL13RA1,chrX,117861564,117926198
201889_at,FAM3C,chrX,23093707,23096495
201890_at,RRM2,chr2,10262510,10271540
201891_s_at,B2M,chr15,45003738,45010342
201892_s_at,IMPDH2,chr3,49061762,49066822
201893_x_at,DCN,chr12,91539646,91576603
201894_s_at,SSR1,chr12,91539703,91576454
201895_at,ARAF,chrX,47420506,47431299
201896_s_at,PSRC1,chr1,109822189,109825747
201897_s_at,CKS1B,chr1,154947213,154951722
201898_s_at,UBE2A,chrX,118708499,118718386
201899_s_at,UBE2A,chrX,118708554,118718377
201900_s_at,AKR1A1,chr1,46027458,46035722
201901_s_at,YY1,chr14,100705101,100745556
201902_s_at,YY1,chr14,100705101,100745556
201903_at,UQCRC1,chr3,48636435,48647470
201904_s_at,CTDSPL,chr3,37903124,38025959
201905_s_at,CTDSPL,chr3,37903124,38025959
201906_s_at,CTDSPL,chr3,37903124,38025959
201907_x_at,DVL3,chr3,183873306,183888661
201908_at,DVL3,chr3,183873175,183891141
201909_at,RPS4Y1,chrY,2710183,2734991
201910_at,FARP1,chr13,98794837,99102023
201911_s_at,FARP1,chr13,98865471,99100827
201912_s_at,GSPT1,chr16,11966538,12009808
201913_s_at,COASY,chr17,40715132,40718294
201914_s_at,SEC63,chr6,108191512,108279393
201915_at,SEC63,chr6,108191512,108279393
201916_s_at,SEC63,chr6,108191969,108279311
201917_s_at,SLC25A36,chr3,140660660,140698783
201918_at,SLC25A36,chr3,140660660,140698783
201919_at,SLC25A36,chr3,140660660,140698783
201920_at,SLC20A1,chr2,113403607,113421402
201921_at,GNG10,chr9,114423837,114432504
201922_at,NSA2,chr5,74063103,74072633
201923_at,PRDX4,chrX,23685644,23704514
201924_at,AFF1,chr4,87928139,88062190
201925_s_at,CD55,chr1,207495045,207533846
201926_s_at,CD55,chr1,207495031,207533057
201927_s_at,PKP4,chr2,159313608,159538343
201928_at,PKP4,chr2,159313608,159538343
201929_s_at,PKP4,chr2,159313608,159537341
201930_at,MCM6,chr2,136598014,136633996
201931_at,ETFA,chr15,76508635,76603729
201932_at,LRRC41,chr1,46744072,46751784
201933_at,CHMP1A,chr16,89710844,89724253
201934_at,WDR82,chr3,52288449,52312276
201935_s_at,EIF4G3,chr1,21132784,21377489
201936_s_at,EIF4G3,chr1,21132975,21377489
201937_s_at,DNPEP,chr2,220238916,220252629
201938_at,CDK2AP1,chr12,123745544,123756687
201939_at,PLK2,chr5,57749813,57756087
201940_at,CPD,chr17,28705973,28795697
201941_at,CPD,chr17,28705973,28795697
201942_s_at,CPD,chr17,28705962,28791965
201943_s_at,CPD,chr17,28705983,28793436
201944_at,HEXB,chr5,73981010,74017113
201945_at,FURIN,chr15,91411884,91426687
201946_s_at,CCT2,chr12,69980048,69995350
201947_s_at,CCT2,chr12,69979244,69995348
201948_at,GNL2,chr1,38032417,38061496
201949_x_at,CAPZB,chr1,19665272,19812109
201950_x_at,CAPZB,chr1,19665763,19746245
201951_at,ALCAM,chr3,105086121,105295746
201952_at,ALCAM,chr3,105086121,105295746
201953_at,CIB1,chr15,90773477,90777160
201954_at,ARPC1B,chr7,98972345,98992321
201955_at,CCNC,chr6,99990196,100016657
201956_s_at,GNPAT,chr1,231376981,231413534
201957_at,PPP1R12B,chr1,202317835,202557697
201958_s_at,PPP1R12B,chr1,202317835,202550336
201959_s_at,MYCBP2,chr13,77618791,77901177
201960_s_at,MYCBP2,chr13,77618792,77901177
201961_s_at,RNF41,chr12,56598284,56615704
201962_s_at,RNF41,chr12,56598287,56610398
201963_at,ACSL1,chr4,185676754,185724681
201964_at,SETX,chr9,135136743,135187235
201965_s_at,SETX,chr9,135139281,135187235
201966_at,NDUFS2,chr1,161172169,161184182
201967_at,RBM6,chr3,49977591,50114681
201968_s_at,PGM1,chr1,64059099,64125915
201969_at,NASP,chr1,46049712,46084566
201970_s_at,NASP,chr1,46049734,46083916
201971_s_at,ATP6V1A,chr3,113497584,113528322
201972_at,ATP6V1A,chr3,113497585,113530901
201973_s_at,CCZ1,chr7,5938380,5983572
201974_s_at,CCZ1,chr7,5938382,5966181
201975_at,CLIP1,chr12,122755980,122865107
201976_s_at,MYO10,chr5,16665412,16936139
201977_s_at,KIAA0141,chr5,141303396,141319717
201978_s_at,KIAA0141,chr5,141303426,141319716
201979_s_at,PPP5C,chr19,46850353,46893838
201980_s_at,RSU1,chr10,16634859,16859379
201981_at,PAPPA,chr9,118916084,119160883
201982_s_at,PAPPA,chr9,118916082,119159188
201983_s_at,EGFR,chr7,55086724,55275772
201984_s_at,EGFR,chr7,55086793,55275025
201985_at,KIAA0196,chr8,126036508,126104005
201986_at,MED13,chr17,60019969,60142643
201987_at,MED13,chr17,60019969,60142643
201988_s_at,CREBL2,chr12,12764807,12798131
201989_s_at,CREBL2,chr12,12764807,12798131
201990_s_at,CREBL2,chr12,12764830,12798041
201991_s_at,KIF5B,chr10,32300066,32345353
201992_s_at,KIF5B,chr10,32300070,32345215
201993_x_at,HNRNPDL,chr4,83345781,83351378
201994_at,MORF4L2,chrX,102930432,102941596
201995_at,EXT1,chr8,118811677,119124057
201996_s_at,SPEN,chr1,16235812,16266950
201997_s_at,SPEN,chr1,16235812,16266950
201998_at,ST6GAL1,chr3,186756529,186796341
201999_s_at,DYNLT1,chr6,159057505,159062394
202000_at,NDUFA6,chr22,42481530,42486749
202001_s_at,NDUFA6,chr22,42482121,42486752
202002_at,ACAA2,chr18,47309578,47340307
202003_s_at,ACAA2,chr18,47309874,47339902
202004_x_at,SDHC,chr1,161284169,161332976
202005_at,ST14,chr11,130029839,130080256
202006_at,PTPN12,chr7,77166844,77269165
202007_at,NID1,chr1,236139134,236228812
202008_s_at,NID1,chr1,236140110,236228462
202009_at,TWF2,chr3,52262629,52273136
202010_s_at,ZNF410,chr14,74353585,74398803
202011_at,TJP1,chr15,29992355,30114706
202012_s_at,EXT2,chr11,44117098,44266975
202013_s_at,EXT2,chr11,44117098,44266974
202014_at,PPP1R15A,chr19,49375677,49379314
202015_x_at,---,chr12,95867932,95908106
202016_at,MEST,chr7,130131936,130146133
202017_at,EPHX1,chr1,226012975,226033261
202018_s_at,LTF,chr3,46477503,46506653
202019_s_at,LANCL1,chr2,211295974,211341456
202020_s_at,LANCL1,chr2,211295975,211341431
202021_x_at,EIF1,chr17,39845152,39847893
202022_at,ALDOC,chr17,26900138,26903862
202023_at,EFNA1,chr1,155100380,155107332
202024_at,ASNA1,chr19,12848368,12859136
202025_x_at,ACAA1,chr3,38164206,38178615
202026_at,SDHD,chr1,25725201,25726493
202027_at,TMEM184B,chr22,38615297,38643869
202028_s_at,RPL38,chr17,72199817,72206019
202029_x_at,RPL38,chr17,72103954,72206017
202030_at,BCKDK,chr16,31119720,31123919
202031_s_at,WIPI2,chr7,5229834,5271360
202032_s_at,MAN2A2,chr15,91446155,91464417
202033_s_at,RB1CC1,chr8,53535017,53626983
202034_x_at,RB1CC1,chr8,53535018,53626983
202035_s_at,SFRP1,chr8,41119480,41166980
202036_s_at,SFRP1,chr8,41121846,41166971
202037_s_at,SFRP1,chr8,41119478,41166980
202038_at,UBE4A,chr11,118230358,118269922
202039_at,MYO18A,chr17,27400538,27401328
202040_s_at,KDM5A,chr12,393501,498412
202041_s_at,FIBP,chr11,65651398,65655900
202042_at,HARS,chr5,140053491,140071344
202043_s_at,SMS,chr1,160864771,160866347
202044_at,ARHGAP35,chr19,47421744,47507564
202045_s_at,ARHGAP35,chr19,47421744,47507564
202046_s_at,ARHGAP35,chr19,47423059,47503799
202047_s_at,CBX6,chr22,39257468,39268254
202048_s_at,CBX6,chr22,39257467,39268224
202049_s_at,ZMYM4,chr1,35734567,35887540
202050_s_at,ZMYM4,chr1,35734567,35887540
202051_s_at,ZMYM4,chr1,35790966,35887539
202052_s_at,RAI14,chr5,34656517,34832716
202053_s_at,ALDH3A2,chr17,19552126,19579055
202054_s_at,ALDH3A2,chr17,19552090,19580903
202055_at,KPNA1,chr3,122140657,122233775
202056_at,KPNA1,chr3,122140657,122233775
202057_at,KPNA1,chr3,122140657,122233775
202058_s_at,KPNA1,chr3,122145616,122233775
202059_s_at,KPNA1,chr3,122144526,122233645
202060_at,CTR9,chr11,10772873,10801287
202061_s_at,SEL1L,chr14,81937892,82000181
202062_s_at,SEL1L,chr14,81943234,81950707
202063_s_at,SEL1L,chr14,81937892,82000133
202064_s_at,SEL1L,chr14,81942344,82000181
202065_s_at,PPFIA1,chr11,70116814,70230673
202066_at,PPFIA1,chr11,70116814,70230673
202067_s_at,LDLR,chr19,11200124,11244496
202068_s_at,LDLR,chr19,11200131,11244490
202069_s_at,IDH3A,chr15,78441714,78462883
202070_s_at,IDH3A,chr15,78447552,78462869
202071_at,SDC4,chr20,43953930,43977050
202072_at,HNRNPL,chr19,39327028,39340541
202073_at,OPTN,chr10,13142209,13180308
202074_s_at,OPTN,chr10,13142209,13178920
202075_s_at,PLTP,chr20,44527398,44540786
202076_at,BIRC2,chr11,102219426,102249394
202077_at,NDUFAB1,chr16,23592334,23607635
202078_at,COPS3,chr17,17150149,17184508
202079_s_at,TRAK1,chr3,42132745,42267369
202080_s_at,TRAK1,chr3,42132745,42267260
202081_at,IER2,chr19,13263899,13265716
202082_s_at,SEC14L1,chr17,75137021,75213183
202083_s_at,SEC14L1,chr17,75137021,75213183
202084_s_at,SEC14L1,chr17,75137021,75213179
202085_at,TJP2,chr9,71789209,71870118
202086_at,MX1,chr21,42798153,42831136
202087_s_at,CTSL,chr9,90341033,90346307
202088_at,SLC39A6,chr18,33688460,33709205
202089_s_at,SLC39A6,chr18,33689198,33709205
202090_s_at,UQCR11,chr19,1598047,1605444
202091_at,PLLP,chr16,57279077,57287547
202092_s_at,ARL2BP,chr16,57279077,57287545
202093_s_at,PAF1,chr19,39876491,39881732
202094_at,BIRC5,chr17,76210322,76221715
202095_s_at,BIRC5,chr17,76210348,76220777
202096_s_at,TSPO,chr22,43547552,43559248
202097_at,NUP153,chr6,17615268,17706618
202098_s_at,PRMT2,chr21,48055566,48084856
202099_s_at,DGCR2,chr22,19023800,19109944
202100_at,RALB,chr2,121010426,121052286
202101_s_at,RALB,chr2,121010433,121051372
202102_s_at,BRD4,chr19,15357789,15391262
202103_at,BRD4,chr19,15357789,15391262
202104_s_at,SPG7,chr16,89574813,89624166
202105_at,IGBP1,chrX,69353790,69386125
202106_at,GOLGA3,chr12,133345498,133404998
202107_s_at,MCM2,chr3,127318159,127341276
202108_at,PEPD,chr19,33877858,34012682
202109_at,ARFIP2,chr11,6497781,6502525
202110_at,COX7B,chrX,77154960,77160881
202111_at,SLC4A2,chr7,150759010,150773609
202112_at,VWF,chr12,6058046,6233836
202113_s_at,SNX2,chr5,122110802,122165362
202114_at,SNX2,chr5,122110769,122165800
202115_s_at,NOC2L,chr1,879595,894631
202116_at,DPF2,chr11,65101354,65120451
202117_at,ARHGAP1,chr11,46698629,46722205
202118_s_at,CPNE3,chr8,87526671,87573724
202119_s_at,CPNE3,chr8,87526697,87573640
202120_x_at,AP2S1,chr19,47341423,47354091
202121_s_at,CHMP2A,chr19,59062933,59066459
202122_s_at,PLIN3,chr19,4838609,4867676
202123_s_at,ABL1,chr9,133710452,133763060
202124_s_at,TRAK2,chr2,202241929,202316254
202125_s_at,TRAK2,chr2,202241930,202316254
202126_at,PRPF4B,chr6,4021601,4065217
202127_at,PRPF4B,chr6,4021601,4065217
202128_at,AREL1,chr14,75127960,75179773
202129_s_at,RIOK3,chr18,21033250,21063101
202130_at,RIOK3,chr18,21033250,21063101
202131_s_at,RIOK3,chr18,21033324,21062432
202132_at,WWTR1,chr3,149235021,149421060
202133_at,WWTR1,chr3,149235021,149421060
202134_s_at,WWTR1,chr3,149238381,149421060
202135_s_at,ACTR1B,chr2,98272430,98280384
202136_at,ZMYND11,chr10,225932,300574
202137_s_at,ZMYND11,chr10,225932,299196
202138_x_at,AIMP2,chr7,6048881,6063465
202139_at,AKR7A2,chr1,19630463,19638608
202140_s_at,CLK3,chr15,74900712,74922458
202141_s_at,COPS8,chr2,237994559,238007326
202142_at,COPS8,chr2,237994559,238007326
202143_s_at,COPS8,chr2,237994558,238006519
202144_s_at,ADSL,chr22,40742562,40762751
202145_at,LY6E,chr8,144099930,144103824
202146_at,IFRD1,chr7,112090514,112116247
202147_s_at,IFRD1,chr7,112090533,112115783
202148_s_at,PYCR1,chr17,79890268,79894701
202149_at,NEDD9,chr6,11183538,11232901
202150_s_at,NEDD9,chr6,11185274,11232886
202151_s_at,UBAC1,chr9,138824815,138853186
202152_x_at,USF2,chr19,35760004,35770692
202153_s_at,NUP62,chr19,50410086,50432710
202154_x_at,TUBB3,chr16,89989809,90002505
202155_s_at,NUP214,chr9,134000999,134109090
202156_s_at,CELF2,chr10,11207076,11376357
202157_s_at,CELF2,chr10,11207442,11373245
202158_s_at,CELF2,chr10,11060069,11376352
202159_at,FARSA,chr19,13033292,13044522
202160_at,CREBBP,chr16,3776568,3930711
202161_at,PKN1,chr19,14544271,14582670
202162_s_at,CNOT8,chr5,154238196,154256352
202163_s_at,CNOT8,chr5,154238208,154256341
202164_s_at,CNOT8,chr5,154242766,154255917
202165_at,PPP1R2,chr3,195241222,195270215
202166_s_at,PPP1R2,chr3,195243210,195270147
202167_s_at,MMS19,chr10,99218103,99258148
202168_at,AK6,chr5,68660568,68665325
202169_s_at,AASDHPPT,chr11,105948291,105969419
202170_s_at,AASDHPPT,chr11,105948291,105967715
202171_at,VEZF1,chr17,56048912,56065542
202172_at,VEZF1,chr17,56048912,56065542
202173_s_at,VEZF1,chr17,56051119,56065513
202174_s_at,PCM1,chr8,17780355,17885264
202175_at,CHPF,chr2,220403675,220406599
202176_at,ERCC3,chr2,128014865,128051752
202177_at,GAS6,chr13,114523546,114567030
202178_at,PRKCZ,chr1,1982069,2116826
202179_at,BLMH,chr17,28575548,28618916
202180_s_at,MVP,chr16,29831787,29859342
202181_at,SUSD6,chr14,70078357,70181854
202182_at,KAT2A,chr17,40265130,40273346
202183_s_at,KIF22,chr16,29802057,29816706
202184_s_at,NUP133,chr1,229577044,229644088
202185_at,PLOD3,chr7,100849259,100860770
202186_x_at,PPP2R5A,chr1,212458688,212535200
202187_s_at,PPP2R5A,chr1,212458878,212535200
202188_at,NUP93,chr16,56764071,56878676
202189_x_at,PTBP1,chr19,797410,812327
202190_at,CSTF1,chr20,54967618,54979107
202191_s_at,GAS7,chr17,9813925,9929578
